काञ्च्,भ्वादि,सेट्,आ०,काचिँ॒ दीप्तिबन्ध॒नयोः॑  
मच्,भ्वादि,सेट्,आ०,मचँ॒ कल्क॑ने    कथ॑न॒ इत्य॒न्ये
मुञ्च्,भ्वादि,सेट्,आ०,मुचि॒ कल्क॑ने    कथ॑न॒ इत्य॒न्ये
मञ्च्,भ्वादि,सेट्,आ०,मचिँ॒ धारणोच्च्रायपूज॒नेषु॑  
पञ्च्,भ्वादि,सेट्,आ०,पचिँ॒ व्यक्ती॒कर॑णे  
स्तुच्,भ्वादि,सेट्,आ०,ष्टुचँ॒ प्रसा॒दे  
ऋज्,भ्वादि,सेट्,आ०,ऋजँ॒ गतिस्थानार्जनोपार्ज॒नेषु॑  
ऋञ्ज्,भ्वादि,सेट्,आ०,ऋजिँ॒ भर्ज॑ने  
भृज्,भ्वादि,सेट्,आ०,भृजीँ॒ भर्ज॑ने  
एज्,भ्वादि,सेट्,आ०,एजृँ॒ दीप्तौ॑  
भ्रेज्,भ्वादि,सेट्,आ०,भ्रेजृँ॒ दीप्तौ॑  
भ्राज्,भ्वादि,सेट्,आ०,भ्राजृँ॒ दीप्तौ॑  
रेज्,भ्वादि,सेट्,आ०,रेजृँ॒ दीप्तौ॑  
ईज्,भ्वादि,सेट्,आ०,ईज॒ गतिकुत्स॒नयोः॑  
ईञ्ज्,भ्वादि,सेट्,आ०,ईजिँ॒ गतिकुत्स॒नयोः॑ इत्येके॑  
वीज्,भ्वादि,सेट्,आ०,वीजँ॒ गतौ॑  
शुच्,भ्वादि,सेट्,प०,शुचँ शोके॑  
कुच्,भ्वादि,सेट्,प०,कुचँ शब्दे॑ ता॒रे  
कुञ्च्,भ्वादि,सेट्,प०,कुञ्चँ कौटिल्याल्पीभा॒वयोः॑  
क्रुञ्च्,भ्वादि,सेट्,प०,क्रुञ्चँ कौटिल्याल्पीभा॒वयोः॑  
लुञ्च्,भ्वादि,सेट्,प०,लुञ्चँ अप॒नय॑ने  
अञ्च्,भ्वादि,सेट्,प०,अञ्चुँ गतिपूज॒नयोः॑  
वञ्च्,भ्वादि,सेट्,प०,वञ्चुँ गत्य॑र्थः  
चञ्च्,भ्वादि,सेट्,प०,चञ्चुँ गत्य॑र्थः  
तञ्च्,भ्वादि,सेट्,प०,तञ्चुँ गत्य॑र्थः  
त्वञ्च्,भ्वादि,सेट्,प०,त्वञ्चुँ गत्य॑र्थः  
म्रुञ्च्,भ्वादि,सेट्,प०,म्रुञ्चुँ गत्य॑र्थः  
म्लुञ्च्,भ्वादि,सेट्,प०,म्लुञ्चुँ गत्य॑र्थः   
म्रुच्,भ्वादि,सेट्,प०,म्रुचुँ गत्य॑र्थः  
म्लुच्,भ्वादि,सेट्,प०,म्लुचुँ गत्य॑र्थाः  
ग्रुच्,भ्वादि,सेट्,प०,ग्रुचुँ स्तेयकर॒णे  
ग्लुच्,भ्वादि,सेट्,प०,ग्लुचुँ स्तेयकर॒णे  
कुज्,भ्वादि,सेट्,प०,कुजुँ स्तेयकर॒णे  
खुज्,भ्वादि,सेट्,प०,खुजुँ स्तेयकर॒णे  
ग्लुञ्च्,भ्वादि,सेट्,प०,ग्लुञ्चँ गतौ॑  
सज्ज्,भ्वादि,सेट्,प०/आ०,षस्जँ (षस्जँ॒) गतौ॑
सस्ज्,भ्वादि,सेट्,प०/आ०,षस्जँ (षस्जँ॒) गतौ॑
गुज्,भ्वादि,सेट्,प०,गुजँ अव्य॑क्ते॒ शब्दे॑  
गुञ्ज्,भ्वादि,सेट्,प०,गुजिँ अव्य॑क्ते॒ शब्दे॑  
अर्च्,भ्वादि,सेट्,प०,अर्चँ पू॒जाया॑म्  
म्लेच्,भ्वादि,सेट्,प०,म्लेचँ अव्य॑क्ते॒ शब्दे॑  
लच्,भ्वादि,सेट्,प०,लचँ लक्ष॑णे  
लाञ्च्,भ्वादि,सेट्,प०,लाचिँ लक्ष॑णे  
वाञ्च्,भ्वादि,सेट्,प०,वाचिँ इ॒च्चाया॑म्  
आञ्च्,भ्वादि,सेट्,प०,आचिँ आया॒मे  
ह्रीच्,भ्वादि,सेट्,प०,ह्रीचँ ल॒ज्जाया॑म्  
हुर्च्,भ्वादि,सेट्,प०,हुर्चाँ कौटि॑ल्ये  
मुर्च्,भ्वादि,सेट्,प०,मुर्चाँ मोहनसमुच्च्रा॒ययोः॑  
स्फुर्च्,भ्वादि,सेट्,प०,स्फुर्चाँ विस्तृ॑तौ  
युच्,भ्वादि,सेट्,प०,युचँ प्रमा॒दे  
उञ्च्,भ्वादि,सेट्,प०,उचिँ उ॒ञ्चे  
उच्,भ्वादि,सेट्,प०,उचीँ विवा॒से  
ध्रज्,भ्वादि,सेट्,प०,ध्रजँ गतौ॑  
ध्रञ्ज्,भ्वादि,सेट्,प०,ध्रजिँ गतौ॑  
व्रज्,भ्वादि,सेट्,प०,व्रजँ गतौ॑  
व्रञ्ज्,भ्वादि,सेट्,प०,व्रजिँ गतौ॑  
धृज्,भ्वादि,सेट्,प०,धृजँ गतौ॑  
धृञ्ज्,भ्वादि,सेट्,प०,धृजिँ गतौ॑  
ध्वज्,भ्वादि,सेट्,प०,ध्वजँ गतौ॑  
ध्वञ्ज्,भ्वादि,सेट्,प०,ध्वजिँ गतौ॑  
ध्रिज्,भ्वादि,सेट्,प०,ध्रिजँ गतौ॑ च
कूज्,भ्वादि,सेट्,प०,कूजँ अव्य॑क्ते॒ शब्दे॑  
कुञ्ज्,भ्वादि,सेट्,प०,कुजिँ अव्य॑क्ते॒ शब्दे॑  
अर्ज्,भ्वादि,सेट्,प०,अर्जँ अर्ज॑ने  
सर्ज्,भ्वादि,सेट्,प०,षर्जँ अर्ज॑ने  
गर्ज्,भ्वादि,सेट्,प०,गर्जँ शब्दे॑  
